     1	game_num,event_id,event_time,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,p0_pos_x,p0_pos_y,p0_pos_z,p0_vel_x,p0_vel_y,p0_vel_z,p0_boost,p1_pos_x,p1_pos_y,p1_pos_z,p1_vel_x,p1_vel_y,p1_vel_z,p1_boost,p2_pos_x,p2_pos_y,p2_pos_z,p2_vel_x,p2_vel_y,p2_vel_z,p2_boost,p3_pos_x,p3_pos_y,p3_pos_z,p3_vel_x,p3_vel_y,p3_vel_z,p3_boost,p4_pos_x,p4_pos_y,p4_pos_z,p4_vel_x,p4_vel_y,p4_vel_z,p4_boost,p5_pos_x,p5_pos_y,p5_pos_z,p5_vel_x,p5_vel_y,p5_vel_z,p5_boost,boost0_timer,boost1_timer,boost2_timer,boost3_timer,boost4_timer,boost5_timer,player_scoring_next,team_scoring_next,team_A_scoring_within_10sec,team_B_scoring_within_10sec
     2	1,1002,-33.31303,-0.0,0.0,1.8548,-0.0,0.0,0.0,41.8048,-51.925,0.3402,5.6354,-4.849,0.0042,33.34,-5.0654,-75.5194,0.3402,0.36020002,9.9606,0.0,27.33,-39.6544,-49.894398,0.3402,8.8092,8.8094,0.0,22.34,5.0604,75.532005,0.3402,-0.5236,-8.0506,0.0042,33.34,-41.766403,52.0064,0.341,-5.4376,5.4378004,0.0052,33.34,39.7574,49.8216,0.3402,-8.2276,-9.2752,-0.0002,22.34,0.0,0.0,0.0,0.0,0.0,0.0,3,B,0,0
     3	1,1002,-33.206146,-0.0,0.0,1.8548,-0.0,0.0,0.0,42.2616,-52.451202,0.3402,5.2871995,-7.4774,0.0042,33.34,-4.9298,-74.3264,0.49,2.2634,13.568199,6.07,23.84,-38.6262,-48.871803,0.3402,11.6062,11.244201,0.0,30.62,5.011,74.772995,0.3402,-0.6998,-9.942,0.0042,33.34,-42.407204,52.622402,0.5944,-7.1724,6.7398,6.2394,33.34,38.7814,48.761402,0.3402,-11.3378,-11.244,0.0002,30.62,0.0,0.0,0.0,0.0,0.0,0.0,3,B,0,0
     4	1,1002,-33.098114,-0.0,0.0,1.8548,-0.0,0.0,0.0,43.227,-54.054,1.1466,5.686,-9.7462,6.5052004,33.34,-4.6879997,-72.959,1.082,2.7757998,15.537,6.3438,23.14,-36.3452,-47.0162,1.1346,16.1252,12.4581995,6.2390003,26.89,4.9168,73.7676,0.3402,-1.1922001,-11.8036,0.0042,33.34,-43.7782,54.0814,1.645,-12.4166,15.7066,6.0082,33.34,36.503998,46.9206,1.0214,-16.3572,-12.203199,6.2126,26.89,0.0,0.0,0.0,0.0,0.0,0.0,3,B,0,0
     5	1,1002,-32.99319,-0.0,0.0,1.8548,-0.0,0.0,0.0,43.8984,-55.2256,1.5936,10.5956,-18.5704,5.5184,33.34,-3.8407998,-69.1258,1.9106,5.677,25.2918,4.2014003,23.14,-35.1736,-45.288,1.5597999,15.8896,26.249199,5.1802,23.38,4.6906,71.6314,0.4394,-1.7122,-15.544201,5.9915996,31.0,-44.9198,55.5252,2.1334,-12.483199,15.779799,4.7494,33.34,35.1518,44.873398,1.5286,-14.6028,-26.306002,4.9346,23.38,0.0,0.0,0.0,0.0,0.0,0.0,3,B,0,0
     6	1,1002,-32.887756,-0.0,0.0,1.8548,-0.0,0.0,0.0,44.9606,-57.0878,2.072,10.6326,-18.6378,4.1670003,33.34,-3.272,-66.5944,1.9814,5.6902003,25.318401,-0.30200002,23.14,-34.066,-43.518997,1.8632001,17.181,26.7396,4.0358,19.84,4.501,69.9216,1.0822,-2.0103998,-18.1204,6.3364,27.47,-46.1704,57.1044,2.2552001,-12.5188,15.7992,-0.273,33.34,33.5848,42.2034,1.9106,-16.5764,-27.0248,1.3248,19.84,0.0,0.0,0.0,0.0,0.0,0.0,3,B,0,0
     7	1,1002,-32.781353,-0.0,0.0,1.8548,-0.0,0.0,0.0,46.470802,-59.736,2.1155999,10.789201,-18.9192,0.21219999,30.89,-2.8454,-64.6968,1.9564,5.6812,25.280602,-0.33560002,23.14,-31.088402,-39.198997,1.962,20.2714,27.7678,-0.4232,16.23,4.287,68.0002,1.5116,-3.3028,-29.616999,5.1714,23.86,-47.11,58.2896,2.2333999,-12.521801,15.8216,-0.284,32.12,32.2796,40.155,1.9083999,-18.063,-27.5416,-0.3376,16.23,0.0,0.0,0.0,0.0,0.0,0.0,3,B,0,0
     8	1,1002,-32.671074,-0.0,0.0,1.8548,-0.0,0.0,0.0,47.5866,-61.6948,2.1494,11.546801,-20.2862,0.26860002,27.05,-1.903,-60.4994,1.9025999,5.6264,25.0862,-0.3042,23.14,-29.3246,-36.8606,1.9260001,21.899399,28.3054,-0.42700002,12.4,3.716,62.8768,1.925,-3.4629998,-31.0518,-0.2394,23.14,-49.2328,61.0754,2.2203999,-13.0144,17.9962,-0.0432,28.3,28.9772,35.4706,1.8504,-21.4204,-28.5622,-0.309,12.4,0.0,0.0,0.0,0.0,0.0,0.0,3,B,0,0
     9	1,1002,-32.56163,-0.0,0.0,1.8548,-0.0,0.0,0.0,48.2794,-62.913197,2.149,12.1336,-21.3472,-0.2234,23.5,-1.4818,-58.621403,1.8806,5.604,25.0054,-0.289,35.28,-27.6208,-34.7178,1.8948,23.3808,28.7792,-0.39400002,8.84,3.5144,61.0656,1.9067999,-3.4612,-31.0384,-0.3348,23.14,-50.217003,62.482597,2.2152,-13.199,19.3934,-0.088199995,24.75,27.6878,33.7942,1.834,-22.61,-28.8744,-0.26139998,8.84,0.0,0.0,0.0,0.0,0.0,0.0,3,B,0,0
    10	1,1002,-32.454773,-0.0,0.0,1.8548,-0.0,0.0,0.0,49.3214,-64.7482,2.119,12.6188,-22.2254,-0.32299998,24.7,-1.0158,-56.5402,1.8566,5.5924,24.9608,-0.27899998,35.28,-22.988201,-29.3104,1.8388001,26.938799,30.270401,-0.2564,5.125,3.2264001,58.482002,1.8788,-3.4529998,-30.969398,-0.33,35.28,-51.755,64.887596,2.2006,-13.0608,21.683401,-0.1936,21.03,25.318998,30.873201,1.8116001,-24.5798,-29.527199,-0.19780001,5.125,0.0,0.0,0.0,0.0,0.0,0.0,3,B,0,0
