game_num,event_id,event_time,ball_pos_x,ball_pos_y,ball_pos_z,ball_vel_x,ball_vel_y,ball_vel_z,p0_pos_x,p0_pos_y,p0_pos_z,p0_vel_x,p0_vel_y,p0_vel_z,p0_boost,p1_pos_x,p1_pos_y,p1_pos_z,p1_vel_x,p1_vel_y,p1_vel_z,p1_boost,p2_pos_x,p2_pos_y,p2_pos_z,p2_vel_x,p2_vel_y,p2_vel_z,p2_boost,p3_pos_x,p3_pos_y,p3_pos_z,p3_vel_x,p3_vel_y,p3_vel_z,p3_boost,p4_pos_x,p4_pos_y,p4_pos_z,p4_vel_x,p4_vel_y,p4_vel_z,p4_boost,p5_pos_x,p5_pos_y,p5_pos_z,p5_vel_x,p5_vel_y,p5_vel_z,p5_boost,boost0_timer,boost1_timer,boost2_timer,boost3_timer,boost4_timer,boost5_timer,player_scoring_next,team_scoring_next,team_A_scoring_within_10sec,team_B_scoring_within_10sec
737,737004,-74.812004,-56.1596,-74.1894,30.8754,3.024,-1.513,-14.4498,-56.4992,-101.3162,13.7258,0.24159999,-0.07,-9.238,37.66,-48.0042,-101.376,1.4878,13.4726,5.2684,-7.1956,55.7,-50.1176,-80.0506,24.956001,-28.6188,15.6716,1.984,11.06,-20.0184,-6.3326,1.9522,-4.965,34.7898,-0.3148,36.1,-8.4548,-89.0588,3.0226002,37.3844,-11.9054,-24.0138,26.61,-72.2362,-4.1614003,0.34,-25.0428,-17.131401,0.0064,82.4,-5.406,0.0,-5.51,0.0,0.0,-0.071,4,B,0,0
737,737004,-74.69997,-55.832,-74.353195,29.2306,3.0135999,-1.5078,-15.8074,-56.3698,-101.3516,12.973599,2.6106,-0.71559995,-10.800601,37.66,-45.9036,-99.99441,0.53220004,13.1714,11.338,-4.3301997,55.7,-52.2936,-78.853,25.0652,-29.093,16.03,1.0248001,10.98,-20.390999,-3.7244,1.9282001,-4.965,34.7804,-0.3114,47.84,-5.0123997,-90.1658,0.819,37.4068,-12.1407995,-23.860401,22.78,-74.1056,-5.4588,0.34,-24.860401,-17.389399,0.0064,82.4,-5.293,0.0,-5.4,0.0,0.0,0.0,4,B,0,0
737,737004,-74.5941,-55.516403,-74.1748,27.684399,6.484,28.906599,1.6304,-56.087204,-101.4292,11.7276,2.4986,-0.6982,-13.955799,37.66,-44.7006,-98.8238,0.319,12.9154005,13.675401,-1.1502,55.7,-55.2082,-77.245,25.0982,-29.181799,16.1242,-0.2518,9.836,-21.094799,1.2022,1.884,-4.965,34.7804,-0.3094,47.84,0.3252,-92.2754,0.2944,37.6964,-17.8098,0.86160004,19.36,-76.9708,-7.4418,0.3736,-23.0182,-15.369,1.5428,82.4,-5.19,0.0,-5.297,0.0,0.0,0.0,4,B,0,0
737,737004,-74.487076,-54.869,-71.288795,27.7768,6.4624,28.8178,0.32619998,-55.9612,-101.4668,10.306999,0.214,-0.1004,-16.6756,37.66,-43.4792,-97.3366,0.32799998,11.867801,15.6488,0.2332,55.7,-59.331,-75.0096,24.7754,-29.242199,16.208399,-3.1662,7.45,-21.508799,4.1001997,1.858,-4.965,34.7804,-0.3094,47.84,3.5532,-93.7454,0.3318,39.7974,-16.971199,0.20639999,15.75,-78.7658,-8.574,0.77900004,-16.2774,-9.7208,7.0024,82.4,-5.086,0.0,-5.188,0.0,0.0,0.0,4,B,0,0
737,737004,-74.377045,-54.1704,-68.1724,27.7302,6.439,28.7216,-1.0802,-56.3268,-101.3654,7.7398,-5.33,1.5114,-18.974,37.66,-42.5914,-96.128395,0.3376,12.1078005,16.211401,0.0592,55.7,-62.0106,-73.518,24.4276,-29.233,16.3236,-4.3217998,7.45,-22.046999,7.8665996,1.8258001,-4.9606,34.7578,-0.2796,47.84,6.6447997,-94.889404,0.3388,42.3862,-13.558399,0.0414,12.05,-80.235,-9.3272,1.87,-6.4598,-2.311,7.3734,82.4,-4.973,0.0,-5.08,0.0,0.0,0.0,4,B,0,0
737,737004,-74.268425,-53.4208,-64.8282,27.51,6.4138002,28.618,-2.5894,-56.922203,-101.187996,6.1384,-8.3464,2.5486,-19.509,37.66,-41.032997,-94.234,0.3398,14.6668005,16.8732,0.0052,51.84,-64.445404,-72.1528,24.0184,-29.203798,16.4294,-5.3984003,7.45,-22.461,10.763599,1.7578,-4.9586,34.7804,-1.2542,47.84,14.118199,-96.1424,0.34,45.9594,-1.9311999,0.002,8.22,-80.8406,-9.4052,2.6924,-5.1464,0.4342,9.1726,82.4,-4.86,0.0,-4.965,0.0,0.0,0.0,4,B,0,0
737,737004,-74.161255,-52.7274,-61.7334,27.148,6.3904,28.5218,-3.986,-58.442,-100.3542,3.0135999,-8.9366,10.1898,-18.991999,37.66,-38.6304,-91.1934,0.3398,14.4758,21.926,0.005,48.28,-69.0634,-69.5356,22.988401,-29.13,16.615799,-7.5134,7.45,-23.2478,16.280602,1.4022,-4.9806,34.9114,-3.1520002,47.84,19.1152,-96.055595,0.34,45.9302,2.5306,0.0018000001,4.633,-81.2238,-9.2714,3.4916,-3.478,2.5166001,9.9732,82.4,-4.754,0.0,-4.86,0.0,0.0,0.0,4,B,0,0
737,737004,-74.05582,-52.1954,-59.36,26.7668,6.3736,28.4478,-5.0572,-59.0142,-99.104004,1.6356,-4.899,18.7876,-13.755401,37.66,-37.5448,-89.207,0.3398,11.609,25.376398,0.005,44.84,-71.489,-68.146805,22.3098,-29.091398,16.701801,-8.6544,7.45,-23.6644,19.194,1.0924,-5.0144,35.0026,-4.183,47.84,22.9522,-95.780594,0.34,45.849197,3.7201998,0.0018000001,1.196,-81.5342,-8.6628,4.8882003,-1.0738,5.95,9.464001,82.4,-4.652,0.0,-4.758,0.0,0.0,0.0,4,B,0,0
737,737004,-73.94793,-51.3476,-55.575,25.9714,6.348,28.3326,-6.7654,-59.3276,-96.924,0.6186,-1.9942,23.806398,-6.6024,37.66,-36.6498,-86.4824,0.3398,6.4923997,28.641,0.005,53.1,-73.4272,-67.031,21.6984,-29.0622,16.7636,-9.5766,7.45,-24.2188,22.6726,0.5956,-6.8182,34.1052,-5.6415997,47.84,26.0186,-95.5174,0.34,45.8204,4.0606,0.0018000001,1.177,-81.5842,-7.807,5.8958,-0.1372,8.63,7.7047997,82.4,-4.543,0.0,-4.65,0.0,0.0,0.0,4,B,0,0
737,737004,-73.83751,-50.6612,-52.511,25.1576,6.3272,28.238998,-8.1482,-59.4202,-93.3598,0.3014,0.6018,25.723799,0.084,37.66,-36.303402,-84.2558,0.593,3.5802,30.4648,6.2318,49.97,-78.506805,-64.0842,19.798399,-28.9978,16.9018,-12.0252,7.45,-25.9934,26.9466,0.3208,-17.0292,26.7558,0.32700002,47.84,34.0094,-94.6268,0.34,45.1978,7.6046004,0.0069999998,1.177,-81.5846,-7.0820003,6.4035997,0.068,10.4796,5.9909997,82.4,-4.43,0.0,-4.535,0.0,0.0,0.0,4,B,0,0
737,737004,-73.727615,-50.0296,-49.691803,24.273798,6.308,28.1526,-9.4208,-59.2858,-90.76321,0.3326,1.7675999,26.167,0.168,37.66,-35.7394,-78.8758,1.8508,3.3422,33.8478,8.6804,46.4,-81.39,-62.3902,18.5194,-27.170801,16.9866,-13.4348,7.45,-27.8952,29.408201,0.3376,-20.683,22.511202,0.0712,47.84,38.483402,-93.67519,0.34,44.358597,11.004001,0.0066000004,1.177,-81.5812,-6.3241997,6.7374,0.033800002,12.0362,4.1924,82.4,-4.324,0.0,-4.43,0.0,0.0,0.0,4,B,0,0
737,737004,-73.624855,-49.3476,-46.647404,23.173,6.2871995,28.058998,-10.795,-59.213398,-89.009,0.3384,0.4278,26.418798,0.047,37.66,-35.5496,-75.531,2.6023998,-3.3658,44.538998,7.8144,42.84,-81.726204,-61.4304,17.4872,1.7975999,11.5268,-17.3576,7.45,-29.9622,31.162199,0.3404,-23.986,15.914201,0.0078,47.84,41.426804,-92.8924,0.34,44.002003,12.250601,0.0066000004,1.177,-81.5798,-3.8988001,6.9574,0.0058,15.2326,-1.6326,82.4,-4.22,0.0,-4.324,0.0,0.0,0.0,4,B,0,0
737,737004,-73.51846,-48.72,-43.846,22.025,6.2679996,27.9726,-12.0592,-59.2726,-87.0194,0.34,-1.5762,26.616999,0.0098,37.66,-35.8376,-71.762,3.2045999,-3.4724,45.3536,6.675,41.2,-81.6048,-60.5458,15.3414,0.5128,5.8926,-21.5132,7.45,-32.0546,32.163998,0.3404,-25.7326,9.0188,0.0032,47.84,46.1144,-91.35,0.34,42.436203,16.2914,0.0069999998,1.177,-81.5798,-2.3242,6.5814,0.0058,16.0414,-5.6386,82.4,-4.117,0.0,-4.223,0.0,0.0,0.0,4,B,0,0
